trust_name,title,post_date,url,address,city,building,sale_content
무궁화신탁,경기도 수원시 권선구 금곡동 1113-5 오피스텔 1022호 매각공고,2023-02-03,http://mghat.com/auction/disposal/1470/show.do?page=247,경기도 수원시 권선구 금곡동 1113-5,경기도 수원시 권선구,오피스텔,1022호 매각공고
무궁화신탁,"충청남도 천안시 서북구 입장면 도림길 26, 3개호실 개별매각 공고",2023-02-03,http://mghat.com/auction/disposal/1469/show.do?page=247,"충청남도 천안시 서북구 입장면 도림길 26, 3",충청남도 천안시 서북구,,개호실 개별매각 공고
무궁화신탁,경기도 평택시 팽성읍 안정리 142-1 오딧세이 이글오피스텔 43개호실 개별매각 공고,2023-02-03,http://mghat.com/auction/disposal/1468/show.do?page=247,경기도 평택시 팽성읍 안정리 142-1,경기도 평택시,이글오피스텔,오딧세이 43개호실 개별매각 공고
무궁화신탁,인천광역시 서구 원적로 63 센트럴시티뷰 104호 매각공고,2023-02-02,http://mghat.com/auction/disposal/1467/show.do?page=247,인천광역시 서구 원적로 63,인천광역시 서구,센트럴시티뷰,104호 매각공고
무궁화신탁,충청남도 논산시 연무읍 황화로 369 토지 및 건물 일괄매각 공고,2023-01-26,http://mghat.com/auction/disposal/1466/show.do?page=247,충청남도 논산시 연무읍 황화로 369,충청남도 논산시,,토지 및 건물 일괄매각 공고
무궁화신탁,경상남도 함양군 안의면 광풍로 160 201호 외 4세대 개별매각 공고,2023-01-26,http://mghat.com/auction/disposal/1465/show.do?page=247,경상남도 함양군 안의면 광풍로 160,경상남도 함양군,,201호 외 4세대 개별매각 공고
무궁화신탁,경기도 화성시 봉담읍 동화리 364-4 외1 금성타운 제1동 제3층 제301호 다세대주택 매각,2023-01-26,http://mghat.com/auction/disposal/1464/show.do?page=247,경기도 화성시 봉담읍 동화리 364-4,경기도 화성시,다세대주택,금성타운 제1동 제3층 제301호 매각
무궁화신탁,강원도 평창군 대관령면 횡계리 262-22 트라이앵글빌리지 토지 및 건물 일괄매각공고,2023-02-24,http://mghat.com/auction/disposal/1483/show.do?page=246,강원도 평창군 대관령면 횡계리 262-22,강원특별자치도 평창군,트라이앵글빌리지,토지 및 건물 일괄매각공고
무궁화신탁,서울특별시 강동구 천호대로161길 15-11 마루지움에비뉴 705호 외 2개 호실 매각공고,2023-02-23,http://mghat.com/auction/disposal/1482/show.do?page=246,서울특별시 강동구 천호대로161길 15-11,서울특별시 강동구,마루지움에비뉴,705호 외 2개 호실 매각공고
무궁화신탁,경기도 고양시 일산동구 장항동 869 일산방송컴플렉스방송관련시설 제비-비1102호 외 19개 호실 개별 매각 공고,2023-02-23,http://mghat.com/auction/disposal/1481/show.do?page=246,경기도 고양시 일산동구 장항동 869,경기도 고양시 일산동구,일산방송컴플렉스방송관련시설,제비-비1102호 외 19개 호실 개별 매각 공고
무궁화신탁,경기도 부천시 괴안동 123-10 201호 외 6개호실 다세대주택 일괄매각 공고,2023-02-17,http://mghat.com/auction/disposal/1480/show.do?page=246,경기도 부천시 괴안동 123-10,경기도 부천시,다세대주택,201호 외 6개호실 일괄매각 공고
무궁화신탁,"경기도 화성시 동탄신리천로 270, 101호 외 9개호실 개별매각 공고",2023-02-17,http://mghat.com/auction/disposal/1479/show.do?page=246,경기도 화성시 동탄신리,경기도 화성시,270,"천로,101호 외 9개호실 개별매각 공고"
무궁화신탁,경기도 평택시 죽백동 766 평택소사해링턴코트 제근린생활시설동 101호 외 4개호실 개별매각 공고,2023-02-16,http://mghat.com/auction/disposal/1478/show.do?page=246,경기도 평택시 죽백동 766,경기도 평택시,평택소사해링턴코트,제근린생활시설동 101호 외 4개호실 개별매각 공고
무궁화신탁,강원도 춘천시 중앙로2가 20-2 외 1 토지 및 건물(나호)일괄매각 공고,2023-02-10,http://mghat.com/auction/disposal/1477/show.do?page=246,강원도 춘천시 중앙로2가 20-2,강원특별자치도 춘천시,,토지 및 건물(나호)일괄매각 공고
무궁화신탁,"인천광역시 계양구 작전동 161-2, 102동 202호 매각공고",2023-02-10,http://mghat.com/auction/disposal/1476/show.do?page=246,"인천광역시 계양구 작전동 161-2, 102",인천광역시 계양구,,동 202호 매각공고
무궁화신탁,대전광역시 중구 용두동 27-31 토지 및 건물 일괄매각 공고,2023-02-10,http://mghat.com/auction/disposal/1475/show.do?page=246,대전광역시 중구 용두동 27-31,대전광역시 중구,,토지 및 건물 일괄매각 공고
무궁화신탁,"광주광역시 북구 첨단연신로107번길 45-17 건영빌딩 301호, 302호 일괄매각 공고",2023-02-10,http://mghat.com/auction/disposal/1474/show.do?page=246,광주광역시 북구 첨단연신로107번길 45-17,광주광역시 북구,건영빌딩,"301호,302호 일괄매각 공고"
무궁화신탁,부산광역시 사상구 주례동 92-144 단독주택 및 토지 일괄매각공고,2023-03-06,http://mghat.com/auction/disposal/1493/show.do?page=245,부산광역시 사상구 주례동 92-144,부산광역시 사상구,단독주택,및 토지 일괄매각공고
무궁화신탁,"서울특별시 동작구 대방동 501 제지하1층 116호 ,지하2층 201호 근린생활시설 매각공고",2023-03-06,http://mghat.com/auction/disposal/1492/show.do?page=245,서울특별시 동작구 대방동 501,서울특별시 동작구,근린생활시설,"제지하1층 116호,지하2층 201호 매각공고"
무궁화신탁,강원도 원주시 지정면 가곡리 1347-3 근린생활시설 4개호실 개별매각 공고,2023-03-06,http://mghat.com/auction/disposal/1491/show.do?page=245,강원도 원주시 지정면 가곡리 1347-3,강원특별자치도 원주시,근린생활시설,4개호실 개별매각 공고
무궁화신탁,"충청남도 천안시 동남구 신방동 74-19, 근린생활시설 7개호실 일괄매각 공고",2023-03-03,http://mghat.com/auction/disposal/1490/show.do?page=245,충청남도 천안시 동남구 신방동 74-19,충청남도 천안시 동남구,근린생활시설,7개호실 일괄매각 공고
무궁화신탁,경기도 평택시 팽성읍 남산리 191-2번지 외 토지 및 미준공건물 일괄매각 공고,2023-03-03,http://mghat.com/auction/disposal/1489/show.do?page=245,경기도 평택시 팽성읍 남산리 191-2번지,경기도 평택시,미준공건물,토지 및 일괄매각 공고
무궁화신탁,경기도 수원시 팔달구 인계동 939-5 201호 외 2개 호실 개별매각 공고,2023-03-03,http://mghat.com/auction/disposal/1488/show.do?page=245,경기도 수원시 팔달구 인계동 939-5,경기도 수원시 팔달구,,201호 외 2개 호실 개별매각 공고
무궁화신탁,대구광역시 서구 중리동 1022-8번지 토지 및 건물 일괄매각 공고,2023-02-27,http://mghat.com/auction/disposal/1487/show.do?page=245,대구광역시 서구 중리동 1022-8번지,대구광역시 서구,,토지 및 건물 일괄매각 공고
무궁화신탁,전라북도 전주시 완산구 중화산동1가 산 8-15 제지101호 외 5호실(주/상용건물) 외 토지(2필지) 일괄매각공고,2023-02-24,http://mghat.com/auction/disposal/1486/show.do?page=245,전라북도 전주시 완산구 중화산동1가 산 8-15,전라북도 전주시 완산구,,제지101호 외 5호실(주/상용건물) 외 토지(2필지) 일괄매각공고
무궁화신탁,서울특별시 성북구 장위동 231-325 제4층 제401호 다세대주택 매각공고,2023-02-24,http://mghat.com/auction/disposal/1485/show.do?page=245,서울특별시 성북구 장위동 231-325,서울특별시 성북구,다세대주택,제4층 제401호 매각공고
무궁화신탁,인천광역시 부평구 청천동 175-6 제3층 제307호 오피스텔 매각공고,2023-02-24,http://mghat.com/auction/disposal/1484/show.do?page=245,인천광역시 부평구 청천동 175-6,인천광역시 부평구,오피스텔,제3층 제307호 매각공고
무궁화신탁,경기도 안산시 단원구 신길동 1627 104호 근린생활시설 매각공고,2023-03-10,http://mghat.com/auction/disposal/1503/show.do?page=244,경기도 안산시 단원구 신길동 1627,경기도 안산시 단원구,근린생활시설,104호 매각공고
무궁화신탁,"경기도 김포시 양촌읍 석모리 951-43 임야, 933-8 잡종지, 933-11 임야, 933-10 도로, 951-41 도로, 933-14 임야 일괄매각 공고",2023-03-10,http://mghat.com/auction/disposal/1502/show.do?page=244,경기도 김포시 양촌읍 석모리 951-43,경기도 김포시,933-11,"임야,933-8 잡종지,임야,933-10 도로,951-41 도로,933-14 임야 일괄매각 공고"
무궁화신탁,"경기도 김포시 양촌읍 석모리 951-43, 933-11 임야 및 933-10 ,951-41 도로 일괄매각 공고",2023-03-10,http://mghat.com/auction/disposal/1501/show.do?page=244,"경기도 김포시 양촌읍 석모리 951-43, 933-11",경기도 김포시,933-10,"임야 및,951-41 도로 일괄매각 공고"
무궁화신탁,경기도 화성시 동탄대로 636-3 동탄역메가비즈타워씨동 104호 외 16개 호실 개별매각 공고,2023-03-10,http://mghat.com/auction/disposal/1500/show.do?page=244,경기도 화성시 동탄대로 636-3,경기도 화성시,동탄역메가비즈타워씨동,104호 외 16개 호실 개별매각 공고
무궁화신탁,"경상북도 김천시 율곡동 22, 23 대지 일괄매각",2023-03-09,http://mghat.com/auction/disposal/1499/show.do?page=244,"경상북도 김천시 율곡동 22, 23",경상북도 김천시,,대지 일괄매각
무궁화신탁,강원도 춘천시 근화동 265-1 더잭슨나인스호텔 제10층 제1022호 외 16실 숙박시설 일괄매각,2023-03-09,http://mghat.com/auction/disposal/1498/show.do?page=244,강원도 춘천시 근화동 265-1,강원특별자치도 춘천시,더잭슨나인스호텔,제10층 제1022호 외 16실 숙박시설 일괄매각
무궁화신탁,경기도 남양주시 별내면 청학리 438 숙박시설 매각공고,2023-03-07,http://mghat.com/auction/disposal/1497/show.do?page=244,경기도 남양주시 별내면 청학리 438,경기도 남양주시,숙박시설,매각공고
무궁화신탁,경기도 남양주시 별내면 청학리 438 숙박시설 매각공고,2023-03-07,http://mghat.com/auction/disposal/1496/show.do?page=244,경기도 남양주시 별내면 청학리 438,경기도 남양주시,숙박시설,매각공고
무궁화신탁,대전광역시 서구 도안동 2332 외 2필지 일괄매각,2023-03-07,http://mghat.com/auction/disposal/1495/show.do?page=244,대전광역시 서구 도안동 2332,대전광역시 서구,,필지 일괄매각
무궁화신탁,"경기도 파주시 조리읍 대원리 264-12, 264-18 3호실 다세대주택 개별매각",2023-03-07,http://mghat.com/auction/disposal/1494/show.do?page=244,"경기도 파주시 조리읍 대원리 264-12, 264-18",경기도 파주시,다세대주택,3호실 개별매각
무궁화신탁,경기도 성남시 분당구 분당로263번길 24 117동 202호 매각 공고,2023-03-16,http://mghat.com/auction/disposal/1513/show.do?page=243,경기도 성남시 분당구 분당로263번길 24,경기도 성남시 분당구,,117동 202호 매각 공고
무궁화신탁,"경기도 파주시 맥금동 667-25, 667-27 제104동 제1층 제101호 다세대주택",2023-03-16,http://mghat.com/auction/disposal/1512/show.do?page=243,"경기도 파주시 맥금동 667-25, 667-27",경기도 파주시,다세대주택,제104동 제1층 제101호
무궁화신탁,경기도 오산시 세교동 600-4 외1 오산세교씨엘타워 제2층 제203호 근린생활시설 매각,2023-03-16,http://mghat.com/auction/disposal/1511/show.do?page=243,경기도 오산시 세교동 600-4,경기도 오산시,오산세교씨엘타워,제2층 제203호 근린생활시설 매각
무궁화신탁,전라북도 익산시 신용동 99 우정연립주택 제2동 제1층 제114호 외 13호실 연립주택 개별매각,2023-03-16,http://mghat.com/auction/disposal/1510/show.do?page=243,전라북도 익산시 신용동 99,전라북도 익산시,우정연립주택,제2동 제1층 제114호 외 13호실 연립주택 개별매각
무궁화신탁,"서울특별시 성동구 용답동 228-6, 228-7 토지 및 건물 일괄매각",2023-03-16,http://mghat.com/auction/disposal/1509/show.do?page=243,"서울특별시 성동구 용답동 228-6, 228-7",서울특별시 성동구,,토지 및 건물 일괄매각
무궁화신탁,경기도 화성시 팔탄면 해창리 259-65 외 공장 및 토지(기계기구 포함) 일괄매각공고,2023-03-15,http://mghat.com/auction/disposal/1508/show.do?page=243,경기도 화성시 팔탄면 해창리 259-65,경기도 화성시,,공장 및 토지(기계기구 포함) 일괄매각공고
무궁화신탁,서울특별시 성북구 장위동 231-325 제4층 제401호 다세대주택 매각공고,2023-03-15,http://mghat.com/auction/disposal/1507/show.do?page=243,서울특별시 성북구 장위동 231-325,서울특별시 성북구,다세대주택,제4층 제401호 매각공고
무궁화신탁,경상북도 예천군 호명면 산합리 1445번지 외 2필지 일괄매각 공고,2023-03-13,http://mghat.com/auction/disposal/1506/show.do?page=243,경상북도 예천군 호명면 산합리 1445번지,경상북도 예천군,,필지 일괄매각 공고
무궁화신탁,전라북도 순창군 순창읍 순화리 472-3 연립주택 4개호실 및 근린생활시설 1개호실 개별매각 공고,2023-03-10,http://mghat.com/auction/disposal/1505/show.do?page=243,전라북도 순창군 순창읍 순화리 472-3,전라북도 순창군,근린생활시설,연립주택 4개호실 및 1개호실 개별매각 공고
무궁화신탁,"인천광역시 중구 운서동 3090-3, 근린생활시설 및 생활형 숙박시설 개별매각 공고",2023-03-10,http://mghat.com/auction/disposal/1504/show.do?page=243,인천광역시 중구 운서동 3090-3,인천광역시 중구,근린생활시설,및 생활형 숙박시설 개별매각 공고
